# Common	Scientific	Article	Image source (Wikipedia / Wikimedia Commons)
Cooper's Hawk	Accipiter cooperii	https://en.wikipedia.org/wiki/Accipiter_cooperii	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Accipiter_cooperii_m_Sam_Smith_Toronto3.jpg/960px-Accipiter_cooperii_m_Sam_Smith_Toronto3.jpg
Red-winged Blackbird	Agelaius phoeniceus	https://en.wikipedia.org/wiki/Agelaius_phoeniceus	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Red-Winged_Blackbird.png/960px-Red-Winged_Blackbird.png
Eastern Whip-poor-will	Antrostomus vociferus	https://en.wikipedia.org/wiki/Antrostomus_vociferus	https://upload.wikimedia.org/wikipedia/commons/2/20/Caprimulgus_vociferusAAP065B.jpg
Tufted Titmouse	Baeolophus bicolor	https://en.wikipedia.org/wiki/Baeolophus_bicolor	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Tufted_titmouse_%2884917%29.jpg/960px-Tufted_titmouse_%2884917%29.jpg
Cedar Waxwing	Bombycilla cedrorum	https://en.wikipedia.org/wiki/Bombycilla_cedrorum	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Cedar_Waxwing_-_Bombycilla_cedrorum%2C_George_Washington%27s_Birthplace_National_Monument%2C_Colonial_Beach%2C_Virginia_%2839997434862%29.jpg/960px-Cedar_Waxwing_-_Bombycilla_cedrorum%2C_George_Washington%27s_Birthplace_National_Monument%2C_Colonial_Beach%2C_Virginia_%2839997434862%29.jpg
Canada Goose	Branta canadensis	https://en.wikipedia.org/wiki/Branta_canadensis	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Canada_goose.jpg/960px-Canada_goose.jpg
Great Horned Owl	Bubo virginianus	https://en.wikipedia.org/wiki/Bubo_virginianus	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Bubo_virginianus_06.jpg/960px-Bubo_virginianus_06.jpg
Red-tailed Hawk	Buteo jamaicensis	https://en.wikipedia.org/wiki/Buteo_jamaicensis	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Red-tailed_Hawk_%2845812546121%29.jpg/960px-Red-tailed_Hawk_%2845812546121%29.jpg
Red-shouldered Hawk	Buteo lineatus	https://en.wikipedia.org/wiki/Buteo_lineatus	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Red-shouldered_Hawk_%28Buteo_lineatus%29_-_Blue_Cypress_Lake%2C_Florida.jpg/960px-Red-shouldered_Hawk_%28Buteo_lineatus%29_-_Blue_Cypress_Lake%2C_Florida.jpg
Northern Cardinal	Cardinalis cardinalis	https://en.wikipedia.org/wiki/Cardinalis_cardinalis	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Male_northern_cardinal_in_Central_Park_%2852612%29.jpg/960px-Male_northern_cardinal_in_Central_Park_%2852612%29.jpg
