Cooper's Hawk|Accipiter cooperii
Red-winged Blackbird|Agelaius phoeniceus
Eastern Whip-poor-will|Antrostomus vociferus
Tufted Titmouse|Baeolophus bicolor
Cedar Waxwing|Bombycilla cedrorum
Canada Goose|Branta canadensis
Great Horned Owl|Bubo virginianus
Red-tailed Hawk|Buteo jamaicensis
Red-shouldered Hawk|Buteo lineatus
Northern Cardinal|Cardinalis cardinalis
Veery|Catharus fuscescens
Hermit Thrush|Catharus guttatus
Swainson's Thrush|Catharus ustulatus
Brown Creeper|Certhia americana
Killdeer|Charadrius vociferus
Common Nighthawk|Chordeiles minor
Yellow-billed Cuckoo|Coccyzus americanus
Northern Flicker|Colaptes auratus
Northern Bobwhite|Colinus virginianus
Eastern Wood-Pewee|Contopus virens
Ruby-crowned Kinglet|Corthylio calendula
American Crow|Corvus brachyrhynchos
Blue Jay|Cyanocitta cristata
Downy Woodpecker|Dryobates pubescens
Hairy Woodpecker|Dryobates villosus
Pileated Woodpecker|Dryocopus pileatus
Gray Catbird|Dumetella carolinensis
Acadian Flycatcher|Empidonax virescens
Common Yellowthroat|Geothlypis trichas
House Finch|Haemorhous mexicanus
Purple Finch|Haemorhous purpureus
Wood Thrush|Hylocichla mustelina
Baltimore Oriole|Icterus galbula
Dark-eyed Junco|Junco hyemalis
Belted Kingfisher|Megaceryle alcyon
Eastern Screech-Owl|Megascops asio
Red-bellied Woodpecker|Melanerpes carolinus
Song Sparrow|Melospiza melodia
Northern Mockingbird|Mimus polyglottos
Black-and-white Warbler|Mniotilta varia
Brown-headed Cowbird|Molothrus ater
Great Crested Flycatcher|Myiarchus crinitus
House Sparrow|Passer domesticus
Indigo Bunting|Passerina cyanea
Rose-breasted Grosbeak|Pheucticus ludovicianus
Eastern Towhee|Pipilo erythrophthalmus
Scarlet Tanager|Piranga olivacea
Summer Tanager|Piranga rubra
Carolina Chickadee|Poecile carolinensis
Blue-gray Gnatcatcher|Polioptila caerulea
Common Grackle|Quiscalus quiscula
Golden-crowned Kinglet|Regulus satrapa
Eastern Phoebe|Sayornis phoebe
Ovenbird|Seiurus aurocapilla
Yellow Warbler|Setophaga petechia
American Redstart|Setophaga ruticilla
Eastern Bluebird|Sialia sialis
Red-breasted Nuthatch|Sitta canadensis
White-breasted Nuthatch|Sitta carolinensis
Pine Siskin|Spinus pinus
American Goldfinch|Spinus tristis
Chipping Sparrow|Spizella passerina
Field Sparrow|Spizella pusilla
Barred Owl|Strix varia
Eastern Meadowlark|Sturnella magna
European Starling|Sturnus vulgaris
Carolina Wren|Thryothorus ludovicianus
Brown Thrasher|Toxostoma rufum
House Wren|Troglodytes aedon
American Robin|Turdus migratorius
Warbling Vireo|Vireo gilvus
Red-eyed Vireo|Vireo olivaceus
Mourning Dove|Zenaida macroura
White-throated Sparrow|Zonotrichia albicollis
